,NPS
28628,1
85079,0
6293,0
5845,0
73014,0
54762,1
9273,0
60007,0
45794,1
1589,0
49187,0
80251,0
79851,0
85423,0
22863,0
42751,0
61050,0
50284,0
59436,0
24110,1
17158,0
47866,0
45339,0
39269,0
6919,0
3115,0
69634,0
62812,0
42861,0
63919,0
88588,0
25760,0
66048,0
34780,0
57929,0
41913,1
8638,0
84446,0
8931,0
38730,0
67759,1
47391,0
48221,0
43456,1
66124,0
71254,0
43982,0
5182,0
20709,0
19587,0
1062,0
88252,1
10379,0
9248,0
7049,0
27399,0
64260,0
88602,0
16653,0
75360,0
19487,0
83422,1
15049,0
59869,1
47498,0
102,0
65234,0
29818,0
69076,1
11286,1
79176,0
58357,1
75058,0
14305,1
45011,0
52562,0
2274,1
14726,0
42207,0
519,1
67762,0
19248,0
54751,1
4424,0
892,0
50455,0
76556,0
69752,0
58575,0
54897,1
48919,0
44149,0
80176,0
82048,0
79962,0
38249,0
64805,1
13280,0
61042,0
86872,0
76472,1
36894,0
33184,0
42367,1
5246,0
74173,0
42160,0
38130,0
6314,0
7550,0
41994,0
38945,1
20728,0
78936,0
25868,0
69745,0
21313,0
42808,1
39713,0
73985,0
45608,0
33551,0
86646,0
60860,0
70586,0
41914,1
5972,1
84649,0
13147,0
26292,0
40684,0
3710,0
12383,0
46576,0
48612,0
58468,0
73795,1
78041,0
60115,1
86373,0
67415,0
35993,0
26341,0
3713,0
18180,0
40051,0
16200,0
63166,0
8726,0
22934,0
43156,1
55744,0
51422,0
59463,0
27530,0
46924,0
15422,0
25186,0
44274,1
75335,0
64225,0
18604,0
25191,0
88516,0
86332,0
60092,0
21669,0
27564,0
15739,0
59550,1
32586,0
44432,0
11864,0
1512,0
77780,0
60518,0
43461,0
15365,1
12662,0
42157,0
84838,0
52334,0
4352,0
59553,0
35186,0
73688,0
70124,0
4173,1
80716,1
81193,0
66440,0
5087,0
38438,0
11790,0
24171,0
67443,0
71152,0
74407,0
32622,0
51158,1
36686,0
34740,0
82030,0
66220,0
3598,0
49863,0
8552,0
27470,0
83569,0
27247,0
86222,0
15955,0
76937,0
27900,1
44129,1
2946,0
29490,0
48626,0
55218,0
7495,0
62772,0
71824,1
14537,0
18675,0
72470,0
833,1
72484,0
77898,0
41720,0
27127,0
19562,0
22780,0
65803,0
38436,0
4880,0
51949,0
54129,0
82227,0
18480,0
41919,0
61975,0
31953,0
77083,0
46351,0
56575,0
47584,0
65337,0
76327,0
23237,0
71503,0
42474,0
12861,1
78297,0
33675,0
68440,0
85965,0
77589,0
5166,0
44296,0
41930,0
20243,0
58670,0
2714,0
65529,0
45677,0
58678,1
21283,0
61100,0
13831,0
52157,0
13688,1
34405,0
53792,0
63431,0
20420,1
71389,0
58720,0
73947,0
33041,0
20908,0
44524,1
26133,0
55012,1
48403,0
87161,0
26193,0
17969,0
62708,0
70678,0
47071,1
52698,0
52297,0
47819,0
63298,0
83625,0
70007,1
73046,0
67965,0
24716,0
24652,0
60605,0
85570,1
4642,0
61849,0
52684,0
32096,0
49996,0
39566,1
15112,0
13056,0
66385,0
47356,0
78303,1
51114,0
59557,0
51333,0
52822,0
77390,0
35775,0
58057,0
3604,0
3965,0
50448,0
30408,0
24952,0
55940,1
50362,0
1812,0
35849,0
48820,0
23169,0
6695,0
10824,1
19896,0
48149,0
67395,0
65254,1
74265,1
25671,0
73413,0
36418,0
80543,0
63425,0
74980,0
61083,0
32097,0
27821,0
42879,0
12337,1
51414,0
71115,0
82707,0
36403,0
76293,0
81423,0
55259,0
23605,0
31289,0
42753,0
16701,0
32274,0
51585,0
7242,0
6071,0
59539,0
80962,1
40838,0
87484,0
13589,0
43210,0
49551,0
77334,0
85400,1
12557,0
25233,0
21248,0
25120,0
36770,0
38429,0
52026,0
53453,0
72166,1
4625,0
33637,0
21500,0
26585,0
27243,0
8562,0
17341,0
54996,0
63320,0
3935,0
4062,0
80654,0
62453,0
65028,1
11033,0
17626,0
2926,0
7508,1
71843,0
55222,0
46595,0
24212,0
64614,0
37177,0
12669,0
16661,1
6300,0
74152,0
45147,0
82654,0
87101,1
23069,0
9569,0
45035,0
10923,0
12289,0
29220,0
30696,0
58036,0
58294,0
39517,0
61231,0
40120,0
30032,0
68967,0
5908,0
65459,0
59830,1
80182,0
67771,0
70098,0
20369,1
87325,1
42177,0
17275,0
37508,0
78471,0
73018,0
2328,0
10606,1
17708,0
76835,0
8453,0
30186,0
35873,1
67843,0
55836,1
18031,0
48988,0
619,1
7951,1
82135,0
23694,0
80727,0
32282,0
73042,0
27895,0
14951,0
30956,0
46030,0
83822,0
9866,1
48831,0
49786,1
35999,0
23243,0
76215,0
69767,0
63291,0
74357,0
16718,1
61735,0
61208,0
56846,0
86278,1
12258,0
70363,0
57483,0
32340,0
83390,0
26229,0
78255,0
13045,0
10414,0
16283,0
70774,0
55460,0
46442,0
8514,0
27063,0
45199,0
68705,0
66409,1
14670,0
86458,0
49366,0
27688,0
53538,0
4948,1
72459,0
50393,0
80452,0
88453,0
19403,0
76374,0
13413,0
19727,0
73532,0
5102,1
77996,0
59016,0
14244,0
36598,0
63446,0
245,0
41193,0
80886,0
54904,1
33761,0
68284,0
17327,0
64166,0
64041,0
76981,0
33314,0
37723,0
28717,0
71977,0
37432,1
5299,0
8696,0
77254,0
65740,0
41433,0
21587,0
42595,0
75578,0
42040,0
85172,0
84847,1
60930,0
31500,1
10744,0
75097,0
26407,0
59844,0
56080,0
75332,1
5876,0
73193,0
81380,0
34592,0
77925,0
8162,0
5209,0
16190,1
80239,0
14494,1
46440,1
48203,0
53190,0
55466,0
