,Sentiment_Flag
0,Neutral_or_Positive
1,Neutral_or_Positive
3,Neutral_or_Positive
9,Neutral_or_Positive
11,Neutral_or_Positive
19,Negative
27,Neutral_or_Positive
35,Negative
69,Negative
82,Neutral_or_Positive
85,Neutral_or_Positive
93,Negative
101,Negative
108,Negative
134,Neutral_or_Positive
135,Negative
140,Neutral_or_Positive
141,Neutral_or_Positive
146,Negative
178,Neutral_or_Positive
181,Neutral_or_Positive
187,Negative
191,Negative
195,Neutral_or_Positive
201,Negative
203,Negative
208,Negative
211,Neutral_or_Positive
230,Neutral_or_Positive
254,Neutral_or_Positive
258,Negative
262,Negative
271,Negative
273,Negative
283,Negative
293,Neutral_or_Positive
339,Negative
345,Neutral_or_Positive
346,Neutral_or_Positive
356,Neutral_or_Positive
363,Neutral_or_Positive
367,Neutral_or_Positive
368,Neutral_or_Positive
378,Negative
386,Negative
389,Neutral_or_Positive
396,Neutral_or_Positive
404,Negative
407,Negative
414,Neutral_or_Positive
416,Negative
421,Neutral_or_Positive
433,Neutral_or_Positive
439,Negative
443,Negative
444,Neutral_or_Positive
467,Neutral_or_Positive
480,Neutral_or_Positive
491,Negative
504,Negative
531,Neutral_or_Positive
551,Neutral_or_Positive
563,Negative
564,Negative
567,Neutral_or_Positive
576,Negative
577,Neutral_or_Positive
586,Neutral_or_Positive
588,Neutral_or_Positive
605,Neutral_or_Positive
611,Negative
612,Negative
618,Negative
647,Negative
654,Neutral_or_Positive
667,Neutral_or_Positive
678,Neutral_or_Positive
699,Neutral_or_Positive
706,Neutral_or_Positive
714,Negative
737,Neutral_or_Positive
740,Neutral_or_Positive
741,Neutral_or_Positive
750,Negative
752,Negative
754,Neutral_or_Positive
767,Neutral_or_Positive
768,Neutral_or_Positive
780,Neutral_or_Positive
783,Negative
797,Neutral_or_Positive
800,Negative
806,Neutral_or_Positive
815,Negative
820,Neutral_or_Positive
824,Negative
826,Neutral_or_Positive
831,Negative
835,Neutral_or_Positive
843,Negative
848,Negative
861,Negative
885,Negative
895,Neutral_or_Positive
914,Neutral_or_Positive
924,Neutral_or_Positive
926,Negative
938,Neutral_or_Positive
952,Neutral_or_Positive
958,Neutral_or_Positive
969,Negative
979,Negative
981,Neutral_or_Positive
992,Negative
997,Neutral_or_Positive
1022,Neutral_or_Positive
1028,Neutral_or_Positive
1042,Neutral_or_Positive
1043,Neutral_or_Positive
1063,Neutral_or_Positive
1086,Neutral_or_Positive
1094,Negative
1095,Negative
1096,Neutral_or_Positive
1098,Negative
1099,Neutral_or_Positive
1119,Neutral_or_Positive
1167,Negative
1174,Neutral_or_Positive
1175,Neutral_or_Positive
1182,Neutral_or_Positive
1188,Negative
1201,Neutral_or_Positive
1238,Negative
1239,Negative
1240,Negative
1244,Neutral_or_Positive
1251,Negative
1252,Negative
1256,Negative
1260,Neutral_or_Positive
1269,Neutral_or_Positive
1277,Neutral_or_Positive
1292,Negative
1296,Negative
1303,Neutral_or_Positive
1344,Neutral_or_Positive
1345,Negative
1356,Neutral_or_Positive
1363,Negative
1367,Neutral_or_Positive
1374,Negative
1391,Neutral_or_Positive
1408,Neutral_or_Positive
1423,Neutral_or_Positive
1436,Neutral_or_Positive
1447,Negative
1450,Negative
1457,Neutral_or_Positive
1500,Neutral_or_Positive
1525,Negative
1553,Negative
1566,Neutral_or_Positive
1568,Negative
1570,Neutral_or_Positive
1594,Neutral_or_Positive
1600,Neutral_or_Positive
1611,Negative
1613,Negative
1628,Neutral_or_Positive
1645,Neutral_or_Positive
1658,Negative
1660,Negative
1661,Neutral_or_Positive
1665,Negative
1671,Neutral_or_Positive
1673,Negative
1678,Neutral_or_Positive
1693,Neutral_or_Positive
1722,Neutral_or_Positive
1730,Neutral_or_Positive
1734,Negative
1756,Negative
1763,Neutral_or_Positive
1792,Neutral_or_Positive
1793,Negative
1794,Negative
1809,Negative
1819,Negative
1852,Neutral_or_Positive
1873,Negative
1876,Neutral_or_Positive
1892,Neutral_or_Positive
1911,Neutral_or_Positive
1912,Negative
1942,Neutral_or_Positive
1992,Neutral_or_Positive
1993,Neutral_or_Positive
1999,Negative
2001,Negative
2005,Neutral_or_Positive
2006,Neutral_or_Positive
2023,Neutral_or_Positive
2027,Neutral_or_Positive
2035,Neutral_or_Positive
2059,Neutral_or_Positive
2064,Neutral_or_Positive
2096,Neutral_or_Positive
2109,Negative
2118,Neutral_or_Positive
2133,Negative
2164,Neutral_or_Positive
2168,Negative
2232,Neutral_or_Positive
2243,Negative
2256,Neutral_or_Positive
2264,Neutral_or_Positive
2282,Negative
2288,Neutral_or_Positive
2292,Negative
2294,Neutral_or_Positive
2295,Neutral_or_Positive
2321,Neutral_or_Positive
2326,Negative
2337,Negative
2340,Neutral_or_Positive
2342,Negative
2349,Neutral_or_Positive
2355,Negative
2357,Negative
2361,Neutral_or_Positive
2365,Negative
2374,Neutral_or_Positive
2375,Neutral_or_Positive
2378,Negative
2393,Negative
2421,Negative
2430,Neutral_or_Positive
2432,Negative
2440,Neutral_or_Positive
2464,Neutral_or_Positive
2473,Neutral_or_Positive
2478,Neutral_or_Positive
2479,Negative
2481,Negative
2488,Negative
2495,Neutral_or_Positive
2498,Neutral_or_Positive
2542,Neutral_or_Positive
2565,Negative
2568,Negative
2577,Negative
2580,Neutral_or_Positive
2585,Neutral_or_Positive
2586,Neutral_or_Positive
2594,Neutral_or_Positive
2606,Negative
2610,Negative
2618,Neutral_or_Positive
2619,Negative
2638,Negative
2639,Negative
2662,Neutral_or_Positive
2664,Neutral_or_Positive
2667,Neutral_or_Positive
2669,Neutral_or_Positive
2682,Neutral_or_Positive
2685,Neutral_or_Positive
2686,Negative
2691,Negative
2695,Negative
2697,Negative
2705,Neutral_or_Positive
2712,Neutral_or_Positive
2714,Neutral_or_Positive
2725,Neutral_or_Positive
2731,Neutral_or_Positive
2741,Neutral_or_Positive
2743,Neutral_or_Positive
2759,Neutral_or_Positive
2765,Negative
2773,Negative
2797,Neutral_or_Positive
2802,Neutral_or_Positive
2804,Neutral_or_Positive
2805,Negative
2824,Negative
2836,Negative
2851,Neutral_or_Positive
2867,Negative
2893,Negative
2907,Neutral_or_Positive
2909,Negative
2918,Negative
2926,Neutral_or_Positive
2932,Neutral_or_Positive
2945,Neutral_or_Positive
2948,Neutral_or_Positive
2950,Neutral_or_Positive
2952,Neutral_or_Positive
2954,Negative
2956,Neutral_or_Positive
2958,Negative
2959,Negative
2967,Neutral_or_Positive
2969,Negative
2971,Negative
2973,Negative
2981,Neutral_or_Positive
2984,Negative
2998,Negative
3023,Negative
3033,Negative
3042,Neutral_or_Positive
3063,Neutral_or_Positive
3087,Negative
3089,Negative
3093,Neutral_or_Positive
3094,Neutral_or_Positive
3097,Negative
3102,Neutral_or_Positive
3104,Neutral_or_Positive
3112,Neutral_or_Positive
3118,Neutral_or_Positive
3120,Negative
3125,Negative
3128,Neutral_or_Positive
3135,Neutral_or_Positive
3162,Neutral_or_Positive
3183,Negative
3191,Neutral_or_Positive
3196,Neutral_or_Positive
3206,Negative
3215,Negative
3216,Negative
3220,Negative
3238,Neutral_or_Positive
3240,Neutral_or_Positive
3258,Neutral_or_Positive
3263,Negative
3267,Negative
3269,Negative
3277,Neutral_or_Positive
3295,Neutral_or_Positive
3297,Neutral_or_Positive
3309,Neutral_or_Positive
3317,Negative
3325,Negative
3355,Neutral_or_Positive
3357,Neutral_or_Positive
3371,Neutral_or_Positive
3373,Neutral_or_Positive
3379,Negative
3380,Neutral_or_Positive
3397,Negative
3425,Neutral_or_Positive
3427,Negative
3430,Neutral_or_Positive
3455,Neutral_or_Positive
3522,Neutral_or_Positive
3536,Negative
3540,Negative
3551,Negative
3552,Negative
3581,Neutral_or_Positive
3582,Negative
3591,Neutral_or_Positive
